folder_name,train_rmse,train_mae,train_r2,validation_rmse,validation_mae,validation_r2,test_rmse,test_mae,test_r2
PET_ConvLSTM,5.179156436541803,3.7765402896729006,0.934316543125932,5.677804939387878,4.586583619801365,0.9116693412866181,6.290103174718797,4.526723865921787,0.8872489861785233
PET_Global_XGBoost,2.184229058743633,1.6562595968038933,0.9882751926056877,2.6817942761578317,2.0476934668066726,0.9837688091698796,3.022044146122473,2.1836607503949126,0.9715993592316116
PET_LSTM_Global,370.5191670254492,15.168112643646852,0.09212884854471382,411.50801449117336,15.792474793542171,0.07129504501383499,348.01720020229885,14.300873980320146,0.0766893909853017
PRE_ConvLSTM,47.902183046548096,28.8660831451416,0.8685048222541809,45.52044419646792,30.449352264404297,0.8815431594848633,60.74569171966025,40.7097053527832,0.8275814056396484
PRE_Global_XGBoost,11.24112543818745,7.548360299414454,0.9931208388040391,23.00790783150566,12.04889895780432,0.9725405330123165,23.620501312517597,13.92436323451714,0.9739305800054658
PRE_LSTM_Global,16836.368068302814,100.41977592901863,0.08578099446750287,17858.082447148634,102.80277516486595,0.07365519960477362,15156.888718490552,100.60380365877266,0.08329365161174196
SPEI_ConvLSTM_Direct,0.9110771399331411,0.6919368505477905,0.026296615600585938,0.8933628564257188,0.7415109872817993,0.08196204900741577,1.0069601905439316,0.8408350944519043,0.06063598394393921
SPEI_Global_XGBoost,0.20558623196446968,0.15508093181653537,0.9572929607090341,0.2854892377131625,0.21808138169348462,0.910303392359015,0.2600428867866072,0.20364748847050548,0.9373531463534749
SPEI_LSTM_Global,0.983780150804215,0.8087108971960166,0.013265693968179115,0.9926580297934392,0.8377658083603141,-0.09243648745581212,0.8693783793959335,0.7903968748279132,-0.02880531737080716
PET_ConvLSTM-MultiTask,4.513187793505633,3.326540231704712,0.9872914552688599,4.682781642217733,3.6455321311950684,0.9489039182662964,7.461358534831491,5.850528240203857,0.8268740177154541
PRE_ConvLSTM-MultiTask,14.690605971456513,9.997435569763184,0.9876049160957336,11.425516156112762,8.765296936035156,0.992537260055542,65.13356544559994,45.16815948486328,0.8017730116844177
SPEI_ConvLSTM-MultiTask,4.693301243231254,3.565560778957169,0.9460620042875194,5.318447395839683,4.154190189478585,0.9224966867954049,6.92042926164266,5.258084815526071,0.8635193805532559
SPEI_ConvLSTM-SingleTask,5.179156436541803,3.7765402896729006,0.934316543125932,5.677804939387878,4.586583619801365,0.9116693412866181,6.290103174718797,4.526723865921787,0.8872489861785233
SPEI_ConvLSTM-MultiTask,4.693301243231254,3.565560778957169,0.9460620042875194,5.318447395839683,4.154190189478585,0.9224966867954049,6.92042926164266,5.258084815526071,0.8635193805532559
SPEI_ConvLSTM-SingleTask,5.179156436541803,3.7765402896729006,0.934316543125932,5.677804939387878,4.586583619801365,0.9116693412866181,6.290103174718797,4.526723865921787,0.8872489861785233
